timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
88650938,0.068978764,0.022440901,-0.2422819,0.0,0.99197185,0.03558278,0.0069645867,-0.12114947,0.0,0.0,-0.12,0,0
88693292,0.07740387,0.027150843,-0.25103888,0.0,0.99123275,0.04008252,0.008614676,-0.12560596,0.0,0.0,-0.12,0,0
88746502,0.08209459,0.016674774,-0.24498191,-0.037515704,0.9915951,0.04174472,0.003254075,-0.122417286,0.0,0.0,-0.12,0,0
88799239,0.08474621,0.0029295196,-0.25182566,-0.080888174,0.9911841,0.042208817,-0.003867775,-0.1255291,0.0,0.0,-0.12,0,0
88852562,0.06273593,0.000689057,-0.26656622,-0.050616574,0.9906419,0.031130422,-0.0038264643,-0.13283418,0.0,0.0,-0.12,0,0
88894659,0.07198618,0.003785717,-0.27503332,-0.031656876,0.9899068,0.03590485,-0.0030592168,-0.13706209,0.0,0.0,-0.12,0,0
88947857,0.07877283,-0.009098401,-0.27231535,-0.017462926,0.9899906,0.03839438,-0.009848357,-0.13545322,0.0,0.0,-0.12,0,0
89000535,0.0893637,0.022802856,-0.2739444,-0.008635068,0.98951143,0.04580097,0.005184498,-0.13690363,0.0,0.0,-0.12,0,0
89043026,0.068066716,0.012924267,-0.28405046,-0.0053912583,0.98930633,0.03459765,0.0015769881,-0.14168102,0.0,0.0,-0.12,0,0
89096015,0.08053214,0.018321605,-0.28896466,-0.0029745838,0.9886839,0.04115197,0.0032621713,-0.14422235,0.0,0.0,-0.12,0,0
89149130,0.069234,0.0020322304,-0.29457816,-0.001859295,0.98857427,0.03438437,-0.004074763,-0.1467039,0.0,0.0,-0.12,0,0
89201796,0.09150948,0.01501367,-0.2973097,-0.00092034484,0.98785746,0.04634371,0.0006421179,-0.14828834,0.0,0.0,-0.12,0,0
89244262,0.07794449,0.012985196,-0.29981893,-0.00057500397,0.9879752,0.0394935,0.000596007,-0.1494822,0.0,0.0,-0.12,0,0
89297248,0.070284866,0.020671753,-0.3143565,-0.01901861,0.98695356,0.036317095,0.0047024963,-0.15678553,0.0,0.0,-0.12,0,0
89350855,0.092293136,0.01715917,-0.31861645,-0.022263797,0.9861871,0.04690394,0.001144218,-0.15885128,0.0,0.0,-0.12,0,0
89392598,0.081875674,0.009230381,-0.31248802,-0.01395624,0.98695123,0.041144997,-0.0018133168,-0.15566361,0.0,0.0,-0.12,0,0
89445591,0.05133601,0.013054301,-0.30871022,-0.007703106,0.9877386,0.026362676,0.0025016216,-0.15385453,0.0,0.0,-0.12,0,0
89498520,0.070191994,-0.001583506,-0.31863505,-0.0038092246,0.9867319,0.034518886,-0.006347885,-0.15851924,0.0,0.0,-0.12,0,0
89551794,0.084562115,-0.004962857,-0.32855824,-0.0023746332,0.98566896,0.041293804,-0.009358444,-0.16329105,0.0,0.0,-0.12,0,0
89593980,0.06315547,0.019345965,-0.33825278,-0.001485969,0.9851433,0.032747895,0.004215995,-0.16853051,0.0,0.0,-0.12,0,0
89646865,0.010007477,0.023040747,-0.3451185,-0.0008218823,0.985061,0.0069071054,0.010489785,-0.17174739,0.0,0.0,-0.12,0,0
89700120,0.043076545,0.027473941,-0.36218274,-0.00040485564,0.9832735,0.02365586,0.009630334,-0.18033546,0.0,0.0,-0.12,0,0
89753017,0.036118183,0.012177159,-0.3640822,-0.00025316604,0.98327774,0.018861463,0.0027178288,-0.1811126,0.0,0.0,-0.12,0,0
89795152,-0.0014268615,0.014381327,-0.3590544,-0.00014012243,0.98390347,0.0005820386,0.0072024246,-0.1785547,0.0,0.0,-0.12,0,0
89848190,0.029331032,-0.008890258,-0.36776212,-8.7545974e-05,0.98303795,0.013604932,-0.0070511233,-0.182761,0.0,0.0,-0.12,0,0
89901099,0.07703078,-0.0040440126,-0.37014753,-4.3281223e-05,0.98220605,0.0374764,-0.009071799,-0.18380567,0.0,0.0,-0.12,0,0
89943728,0.05063147,0.0012459784,-0.3702046,-2.6985661e-05,0.9825994,0.02499524,-0.0040466385,-0.18400359,0.0,0.0,-0.12,0,0
